LEONARD;male;You're stupid They forgot you again Yes they forgot and you're goin' Come back Lizzy You can wait with continuing
STORMIE;female;If I did know I would call the I was in the cult for a week cause Militant feminist manhating phase Jason kicked his ass VO VO One thing he used to be a Oh my God he'll kill her Erwin Kelper He used to be in the annoyed Yes a death hex You know where What she's subtly trying to tell He's talking about dream dope  Chill Erwin We're here for some I told her you might know where The whole cult Yeech That's the stupidest shit I ever But Freddy's dead Come on Meagan our five minutes How will they ever know Don't be Okay I will I can disguise my voice Oh cool Whatever I've got him Wake us up Wake continuing Shoot him Shoot him You didn't help me you pussy Are you okay He killed me too But look Yeah We could hire somebody to Sounds like our man Well that's okay as long as he Hey we sisters have to stand VO I don't think they're open I don't think there's anybody We want to see it Been dug up a few times already Where have you been Jason was that She got her head chopped off by one Get back you nastyass bastard Well that means we've all got to I'm staying with you How Hey doc is there someplace I I'll be right back I'm goin' go Jesus get a grip lady You'd into phone Just missed 'em Where'd you get the truck And where's that What'd you do  take him for a I don't know She's pretty fucked What's that supposed to mean Is this him Why'd you put that stupid mask Good idea So what do we do now  sing an Ozzy I thought you said you knew how to Awwww he won't be needing that Well does it really matter Hey Watch that Just keep your hands above the bra He's head right for her Do some You've got to quit blaming your I'm not sorry I came I don't So you kick the bucket and Jason Just don't stand there Do something The cops Who else Fine by me to Erwin Well do something continuing That's right She gave you her interjects Getting something to eat might help Excuse me Deputy Miller but could And I thought you pigs only ate low to Meagan You should be worrying about your Nah what are best friends for Help Help Freddy's here He's here continuing You don't scare me Freddy Thanks I'm warning you Freddy my father
ERWIN;male;SHOW ME YOUR ARMS YOUR ARMS continuing You're not in the cult Didn't Freddy send you to kill me I don't trust you better take off Well what do you want Can't you I already told the cops everything Look I'm sorry about your sister To bear his child Freddy wants to He has to marry a virgin on holy Freddy's the son of a hundred maniacs And Freddy enters the soul of the Hey they're not my rules some I'll help you find your sister but You have to help me kill Freddy Freddy lives When it's not a dream Hi my name's Erwin Thanks for Damn We must have just missed them We're too late There's no way We could go after Freddy We'll inject ourselves with Dream Don't worry about it We need you We're going to go under and try to It's not the gun it's what's in shrugs Have a seat over there and make It's how the cult keeps in constant It helps to hold hands if you want continuing WHAT A RUSH HUH Freddy's trying to split us up Well atleast you're not dead It means we've still got some time Freddy made a pact with Satan when We already tried that There's no You would have to hire a thousand brightens Seriously dead Buried up by Crystal But that's not the problem The No doubt about Jason could wreck That's about the size of it and Look out Freddy here we come It started a long time ago back in Right And then Jason came back from Yeah Chopped up a number of people They killed him Not very well apparently Jason They say he's looking for revenge Look the boogerman We just dug up a rotting corpse and Uhhh better not fall asleep  Don't worry an ambulance is on Meagan listen to me The cops I'll call you at the hospital Somehow Same place I've got Jason hid A place where no one ever goes Almost continuing You're a strong woman Uhhh nothing I didn't mean Yeah Take a look Not exactly a beauty queen entry I'm afraid it's not that simple I do But when I was putting him cuts her off No he has to have a heart A That guard in there might pose a I'm just trying to make it look real Well that just about does it continuing continuing Yeah right Holy shit It worked Shut it off it suddenly occurs Well it's off now continuing He's right behind me And There's no one else inside You want me to tell you where continuing continuing continuing continuing Fuck the bitch Let's roll That was easy enough I can't wake them up Freddy's continuing What ever you do don't let this Oh no Freddy's in the transmitter continuing No Wait
OSWALD;male;angry defensive
JIM;male;Wellhow do you feel I'm talking about graduation Being  Gotta throw the anchor over Nothing It's just that we're right around that  Never mind you don't want to know  There's nothing to worry about Suzy  There was this boy named Jason  A bunch of years went by and everybody  His mother blamed the counselors for  No Legend has it that Jason came back to  Forget about it Suzy They're just  Right Right Right Except that Jason isn't real  Hear what All right I'll check it out Gotcha good baby cakes All right all right  I'm a major  And I'll never do it again Forgive  Uhhuh You must really think I'm an  Ohmygod
SUZY;female;Ask me in about five minutes It feels excellent What's wrong C'mon Jimmy Something's bothering  What murders Tell me What stories Jason did it So the murders stopped We're the last graduating class  I mean Lakeview High just closed its  So there's no reason for him to come  Did you hear that C'mon I'm serious Jimmy Jim Stop screwing around Jim I mean   And you'll never do it again No  JJJJJJJJason
JASON;male;                     MmmmmmmmmommyDON'T LET ME DROWN       Did you want to tell me something Adam
MILES;male;You're telling me this boat has a pool  I think I'm gonna blow off New York  under his breath Hey Admiral Robertson Love your  You've really been generous to give us  A halftwist short I'll hone that  Sean what's going on Isn't there some international SOS  I'll take the upper deck 
SEAN;male;It's a ship and that's right Plus a  Which cabin is Rennie in Mr  But I thought Be right up Dad Hello Dad Dad I don't think How about if we start up the forward  Yeah tell me about it Rennie I heard you weren't coming I got you a present Forget it It's a dumb little thing  I thought maybe we could hike to the  I guess I'll see you later What happened  It's okayyou're going to be okay Me too Not completing a voyage is against  If I go with you he'll never  Oh JesusDad  He'she's dead I don't knowwe've gone off course  I don't know what I mean All's I know  I think so But we have to lower the  The bowfront of the ship There's a  I didn't mean for you to go Mayday mayday mayday Pleasecan anybody out there hear  suddenly remembers The Captain and Chief Engineer  II don't know Yes I've got the numbers Hello Are you there It'sdead She'sshe's dropping the anchors I  very worried beat It workedwe're back on course The fire alarm We have to get everybody together just  Rennie It's gonna be okay Rule one don't panic Rule two  I don't know The emergency lights just kicked in We'll be okay I want you to wait by  But Rennie Water has gotten to the engines This is Jason's fault We have to get off this ship Everybody in  I'll get the hoists Stop it Come onfaster Start rowing He's gone It's Julius Renniewhat'd they do to you We have to find the others Jason's here in New York There aren't any handles Miss Van Deusen You son of a bitch You keep away from her Not this time Come on  It's over Rennie It's finally over Godplease no out of breath Can you help us get out What do you mean  Run Rennie I hear there's a statue here that's 22 
RENNIE;female;Me too But I'm not sure Uncle Charles  What about notsogreat writers Just felt a little chill Really That's wonderful Miss Van  I don't know what to say  I just got a little dizzy I'm fine  Hi Sean glances at Toby But I didn't get you one Seanit's beautiful I'd love to I'm staying She didn't push me into coming I don't even know why I'm afraid  I'm staying What do you thinktime for some  I agree   Okay Toby calm down  No thanks Toby Have you seen my dog anywhere lying a pause  I can't swim It's not that simple long pause About four years agoat Crystal  No It was just a normal summer I've  It wasn't her fault Justleave me alone It's not real it's not real I want to go home I want off this  Can he really take us home What about you What is happening What do you mean Can't you call for help Where are they Just radio for help okay Toby Toby Where'd you go   But Sean said Can't we at least talk about it But what about the drowning boy I've  I'm not staying in my room Uncle      pointing I don't understand what is happening  What is it Is the ship going to sink terrified I'm not II can't Toby No No Please don't   Drugs      You pushed me He was down there I was at school when they told me  It seems like everybody I care about  Toby What's wrong boy  NO  Somebody help us He's going to kill  Please hurry You don't understand  there's a  Look   You never got me in the lake Jason   Get up Sean   screaming  Oh Toby
TAMARA;female;Hi Mrs Watanabe Just kidding I hear the crew members are cute guys  I'm sure we'll have no problem getting  It's my graduation gift from Daddy It  More or less It's part of my college  What are you talking about You can't do that Look Mr McCulloch I got in a car  Perfectly Improvise of course Is that a muscular bod or what He's undefeated you know that My stepmom couldn't care less but  Gorgeous guy at ten o'clock Look  I think it's time for some  You're joking right The night time is the right time  What Don't be a lightweightthis is  You're talking to the prom queen  Do you realize how many people would  Is that unbelievable or what Jesus you scared the hell out of us No we haven't A real space cadet I wonder if she'll  Nobody related to McCulloch can be  Oh yeah Ready to party and then some Nothing They're out of town Relax I've got McCulloch covered  Wow sorry It was an accident I swear That was truly excellent Time to check out the waiters Butwait a minute Some friend you are Wouldn't you like a glass of champagne  I packed it Just for us But I haven't even shown you my  Take a closer look Charles I want to  I don't think so Mr McCulloch Relax Wayne He won't risk doing a  That's sweet Wayne Look I'd love to  Thanks for the camerawork Pleaseplease don't
EVA;female;Don't worry about a thing Mom I'll  Really He bought you that She's telling the truth Mr  What are you going to do I'm not sure we're supposed to be  awkward Sounds good I hear there's a  nervous It's not that it's just that a pause I have her in Creative Writing and  Do you think I would use drugs Mr  What are you going to do feels like shit I think I'll pass See you later  What's going on I heard on the PA  JasonVoorhees Have you seen Tamara But she might be in trouble I don't care about being hip anymore Tamara Tamara    
WAYNE;male;Too cool JJ Your parents came  Surebut I gotta shoot some  She's sexy I'll catch you later Yeah motivating downstairs I think  Some of us don't want our futures   Oh yeah This is going to sound supremely  But I thought Wayne you're an asshole Miles  have you seen JJ She was  Jesus Christ Is the radio even working interrupting No And I'm not losing any sleep over  So what else is new I'm sorry but I've gotta find JJ What are you taking Julius dead serious JJ  you down here  We got a major problem Wayne     No  No no no
JULIUS;male;Who did this man Yeah well these dead bodies are sure  School's out McCulloch I managed to scrounge this shit from  flexes fists Nothin' but this gun  Miles  Hey man if I can make it so can  Hey man wake up Check it out God damn we're in New York You did  We can't let those gangbangers get   C'mon Get me the police  this is an  Use the combos and keep the feet  Take your best shot motherfucker
PETE;male;Haven't felt it a bit Been inside with I'm by myself today ate my lunch Whatsamatter Isn't there a law or something You could sue the shit out of her ya That's all that's been on the box Knock yourself out What do you want from me I did what He comes in here every day and we What Are you kidding I didn't do I wasn't scratching I'm not calling him a liar okay I'm Don't do that Look you asked me to Sixfifty hysterical You fuckin' liar I didn't say shit yelling afraid  quiet My head hurts I I don't know straining No I don't feel so good  I would  unsure  brow furrowed Okay  Thanks Yeah What night is that No I don't  Why Hey Just haven't been feelin' well I don't think so Where to  Hey Lanie I heard you were Sheila'll be at "Tops" Okay to Bill and Claire I hate ridin' in this fuckin' car This rod is a fuckin embarrassment Listen No I'm okay Yeah Nothin' Guess we're goin' over to the "Ten Pin" Sure They're comin' with us Sorry I I don't know What night I don't remember What happened that Whatiya mean Who else could I be7 Sure  Sure I do No I told you Whatiya mean Sheila Sheila climbing out of the Camaro Sure Sure Arnie  Bring 'em on I'm ready No it's nothin' I'm all right No no It's okay Mr Eddy Thanks Mr Eddy  whatiya need  Just Okay Lemme clear it with No it's not the carburetors  Pull over Give that a try Whatever you say Mr Eddy I can see that Eight nine car lengths  A hundred and Fifteen car lengths  About two hundred Thanks Mr Eddy Pornos No thanks Mr Eddy Okay Well I'll see ya then Well I didn't regaining his composure It'll be ready Nothin' You want to go for a drive Come on get in Come here I do like you Sheila Pete Dayton Yeah I remember laughs uncomfortably Look I don't think it's a good idea pointing into phone Me too Yeah Call me at home  I'll give you I'll lose 'em at the light voiceover into phone Hi disappointed Sure Me too Nothin'     What Yeah I've been here  You were lookin right Yeah Come on Hey What's up I gotta headache What's goin' on Yeah what did they want But I don't remember anything  What did Sheila What is this Why didn't you tell me Who was the man Did you tell the police this What happened to me Why didn't you tell me you brought me Okay very quietly voiceover Hello hesitates Are you positive he knows So what do we do We should stop seeing each other Have you partied with him You like it What deal What's he do Pornos How'd you get in with these fuckin' How'd it happen Alice In pornos Why didn't you just leave I don't want you to go away desperate whisper Andy Yeah  Call him Okay Okay Why are ya goin' so early What if Andy tips off Mr Eddy What about tonight Whatiya gonna do Oh yeah What else getting hotter frightened Sheila what is it What are you doin' Sheila Hey Sheila Look Sheila I'm sorry Go home Sheila Sheila Stop Who is it Hello Who is this Mr Eddy Okay Look It's late Mr Eddy I  Yeah I don't think so  Where was it that you No No I don't What What's goin' on still holding the figurine We killed him Alice Alice Is that you  Are both of them you Where's the bathroom Alice Why me Alice  Why choose me I want you I want you
SETH;male;Letting him use your toilet No store I want that sonofabitch out outta Were you giving that pig signals He says you were scratching You callin' him a liar Yeah well your best better get a Everybody be cool to Richard What the fuck is wrong with you  Start the car Shut up and start the car yelling yelling yelling One Two Three What did I tell you What did I tell He didn't recognize shit Low profile Do you know what the Whatcha think I want ya mean old No No They don't have anything except four tossing Richie the motel keys Don't say a word You Plant yourself in that chair  I said plant yourself Plants don't Let me help you How's it feel I got both rooms on either side of us I'm gonna go get the money It's about five o'clock Good I'm going towards the border to That's their standard deal brother These guys ain't spic fire cracker  This conversation is over Now we need to have a talk What's Hello Gloria I'm Seth and that's my Good Then let me explain the house Rule number two You do what we say Rule number three Don't you ever try Open your eyes Gloria you hang in there follow the I'll be back in a bit Things are real hot here Crossing's Sight seein' Cops Yeah I saw the border Through to himself Richie it's gonna get a lot fuckin' I heard it on the radio We gotta get Where's the woman What'd ya mean what The fuckin' What the fuck is she doin' there to himself Yeah explain it to me I need an No slowly approaching Is this my fault Do you think this This is not me I am a professional Just say yes Nothing else just say Yes Seth I understand whispers in Richie's ear  It's called a punch to Jacob Okay Jacob get up and sit your ass to Richard to his hostages How does that happen You don't look Oh well excuse me all to hell It's about money all right but not to Scott and Jacob Just listen to daddy sugar and don't to Jacob Richie take the keys Start that big Not when you get around to it now pointing at Kate You got three minutes One second Do you believe me You damn well better Go Sorry Pops it ain't gonna be that Get ready to move out we're all going Come again Sorry I need everybody angry I ain't got time to fuck around with Good Times up Princess Okay ramblers let's get to rambling reading his driver's license Scott and Kate Kate and Scott Who's this Where is the little lady She's dead How'd she die Come on gimme some more details Died instantly Whewww Those acts of God really stick Is this real I've seen one of these before A You're a preacher Was As in not anymore Why'd ya quit I seem to have touched a nerve Don't I thought so You help us get across Jesus Christ Pops don't start with Look dickhead the only thing you Didn't like it did ya Didn't think so So as I was saying I can handle Richie don't worry I give you my word hand sticks out Fair enough You break your word I'll You must have a bible in here don't Get it and bring it up here will Hold it right there sweetie pie Swear to God on the Bible you won't You best better get it done Pops I swear to God I'll let you loose in the I told you to watch those kids I didn't say Okay everybody it's show time Scott you come up front with your As long as you're cool she'll be Well you just keep thinkin' of that Shut up It's gonna work just fine Duly noted Now shut up offhand distracted No I didn't Take a pill kid I just meant stay serious as a heart attack real quiet and violent This ain't the time Goddamn that was intense to himself loud and happy to Kate If I was a bit younger baby I'd I gotta hand it to ya Pops you Pops when you're right you're right In the morning darlin' in the Then stop 'cause that's where we're You okay I don't know you just passed out Yeah we were just standing there You Yeah when you fell your head smacked Well let me tell ya something gonna We are Yep We're heading for the rendezvous They broke when you fell Don't worry about it we'll get you When we get to El Ray I'll take care It's not a big deal unless you make to the group Okay hard drinkers let's drink hard Shit I been to bars make this place in a baby talk voice That's how you're lookin' Richie That's what you look like No Richie what do I look like How What do you mean I'm here with you My shit is together Well it is Just because I'm happy Step aside asshole Now is my shit together or is my Now this is my kinda place I could Whiskey What dya mean Are you tellin' me I'm not good enough low No I'm going to count to three Two Bottle of whiskey and five glasses That's just fuckin' typical Biggest You serve food Jose I kinda doubt that We're grabbin' a Who else picking a fight Suit yourself more for me to Kate Sorry Pops but I'm drinkin' and I How about you cutie pie Ready for I'm still stewing about that ape He's smilin' at us But behind his picking up the whiskey bottle tossing it off What did you call me Jacob I want you to have a drink with To your family Forever together In that camper out there I saw a guitar I take Go out and bring it in I feel a song coming on Bravo Bravo Bravo Now that's what snapping his fingers Well then ask her dumb ass Richie you lucky bastard Which reminds me of a joke Little Red Not now So finally she comes across Scarred for life that's how I am You thought it was pretty funny Everybody be cool or you'll be just Richie We may be in trouble Richie I'm sorry I fucked things up Touch my brother with that stake That's a matter of opinion and I Shut up Hold him down Richie here's the peace in death I Peachy Why shouldn't I be The Bullshit You hate us If you had half It's bats Get this bastard off of me Yeah I know what's going on We got You too preacher Good for you Now since we all In other words no I don't know about that In order for Okay I'll buy that So we got crosses Aside from they're thirsty Actually our best weapon against As far as God's concerned we might I'm not taunting you We need you A I know why you lost your faith How Oh shit You wanna suck something suck on Daddy's dead He needs our help Did he Fuck piss shit Mother fuckin' You all are gonna fuckin' die I'm My guess is that this little dive's I don't give a shit about living or I promise Okay vampire killers let's kill some Kill 'em all Okay dead boys come on Take a bite Anytime Fight now cry later How many bullets left kid Well when you run out of weapons You use 'em on the first couple of Shoot more holes yelling Why the fuck outta all the god Have you ever been there before Well because you picked that place Did they look like psychos They You can't but fifteen percent instead Jesus Christ Carlos my brother's I said new this is an '90 So do I just follow you So let's do it I'm sorry See ya Kate honey I may be a bastard But
RICHARD;male;The Ranger's taking a piss Why don't in a low monotone to Seth Seth he did it You were by the beer You believe me don't cha yelling yelling Gotcha What am I supposed to do Seth Seth I'm telling you the way he Do they have cable Do they have an Xrated channel Do they have a waterbed How ya think it hurts like a Feels good Hey when you talk to him see if you Did you even to try to negotiate All I'm saying  Wanna come up here on the bed and Come on Newscaster's voice Shit I started to get worried Where What'd ya see Didya look at the border They're going to apprehend us in Look fuck the border Let's just dig How do you know What She's in the other room Seth before you open the door let Now Seth before you flip out let me low and calm Wrong wrong wrong wrong wrong It's not your fault it's her fault What Seth if you were me  Yes Yes Seth I understand Hi there I'm from room 9 my name is Sit down Good boy Upsy daisy We're having a wet bikini contest Sure What Mexico Mexicans Did ya mean what you said back there In the room Were you serious or were in a whisper whisper to Seth quiet This isn't gonna work I just want to go on record as saying to himself What does that mean You just called me a fuckin' nut Yes you did You said as long as I You meant that but you meant the his voice rising quiet back I'm curious What was the nuttiest Oh I know was it possibly when your disoriented I did Really Yeah I guess I'm just a little What We are Far out Oh fuck Seth that's my only pair What dya mean don't worry about it Yeah like a Mexican I gotta say I'm with Jacob on this I That's what you think I'm lookin' scared You know what you look like You're lookin' green Where are you right now Where are you No you're not You're sippin' It don't look together Okay just checkin' slappin' Seth five Good job Pops Fuck 'em shake it off Anytime you want a lap dance with that to Seth Yeah looking up at Santanico Fuck off ape man How are you Shoot her Shoot her Get her off with his dying breath I'm glad you feel that way Seth I Yeah shut up
JACOB;male;We got about two more hours of day Okay Okay maybe I was a little Unless you two wiseacres wanna be You two ought to start a standup I'm exhausted I just bet you would Don't even thin That's very nice of Ted but I'll Not enough to be a pastor Look I I didn't say fuck him I'm just not Kate give your old man a little Mom's got nothing to say she's dead There's nothing wrong with this It's not a flop house It's basic It has a bed That's all I care about Watch where you're going I have no idea Anytime man yelling I hope none of this is disturbing you still partially asleep What is this Jacob He's my son Neither does he He looks Vietnamese What's this about money to Kate On the dresser Look if you want the motor home just Not a chance If you're taking people take me But My children are not going with you Yes Scott and Kate My wife In heaven Yes she is Auto wreck No It was a rainy night the brakes Not quite She was trapped in the Yes they do Yes Real McCoy I was a minister Yes I think I've gotten about as up close Yes How do I know you'll keep your word You want me to sit here and be Yes No I didn't You won't let him touch her If he touches her I'll kill him I I swear to God I won't try to escape I'm telling you don't hurt her I don't have the slightest idea I'm gonna try and get us across the Have you forgotten about your sister If they get over the border they're What about Kate Son I have this situation under Now you listen to me You ain't gonna I'm running the show I make the Just my son and I Vacation I'm taking him to see his Oh that's just my daughter in the I meant me my son and my daughter We did our part we gotcha in Mexico Then Guys We're here Out of the stew pot and into the fire Now wait a minute there's no reason If you look outside your door parked Pass won't be baited No you won't Why are you so agitated He backed down What are you going to do Before we stepped in here you told Are you so much a fucking loser you Nothing I didn't make a statement I To yours Now is your shit together to himself Don't be an idiot he'll kill us all Then why didn't I I saved your life I didn't have to What the hell is that Give me a hand Is everybody okay Okay does anybody here know what's I'm like you I don't believe in In the Winnebago What's an official cross Some piece About two hours from now Has anybody here read a real book I take it the answer's no Okay then Yeah that bottle upside the head of I've had enough of your taunts I'm a mean mother fucking servant of What are you talking about Good lord Open the door Yep to Seth No I'm not I've been bit In effect to his children What's this stuff Well I say lets tear this place apart Amen Before we go any further I need you Kate Scott Scott Why don't I believe you Kate we don't have all day so I'm Not good enough swear to God Good girl Now Scott we have even It's not suicide if you're already Thank you son yelling No
SCOTT;male;Stop We're not going to actually Why just look at all this You got  you got your sink   see this television to Kate Why do you want to stop Lie in the back Dad I'll drive us I'll be right back I'm gonna go to What's this guy's problem What are you gonna do No dad you gotta tell 'em that They're gonna kill us They get us Dad I watch those reality shows They're gonna kill her anyway At If trusting you means trusting those He's running the show It's clear Okay I'll have one Yeah it's mine yelling What are you talking about We got That's werewolves When's sunrise You could take their head off He's right Kate Daddy's dead He was He's beyond our help You saw him get Yeah I promise You don't believe in suicide Okay I'll kill you when you change yelling I swear to God in Jesus Christ's Kill me Kate 
KATE;female; you got your microwave   you got your shower  Feel this real wood paneling That's to Scott Ain't it the truth Hey if we go to a motel we can Dad when I called the machine to I didn't want to talk about this in pushing him That happens you'll get it back What do you think Mom would say I can't believe he's stopping here Dad why are we stopping here It's a flop house If it doesn't have a pool we're Other places have beds they also have Owww my head Creepy guy What's going on Richie will you do me a favor and eat Yes Yes Excuse me Where are you taking us What's in Mexico Yeah Yeah we got a bible What Do what whispers back I'm in the bathroom It's open Do you mind Shut the fucking door suddenly brightens Okay yelling Are you okay I'm really sorry Kate what's yours Does anybody have any silver Then who cares So all we have to do is get by for a I don't know if I can take two hours We have to go back for Daddy Noooo You're gonna be okay aren't you I promise Okay okay I promise I'll do it I swear to God our father that when Seth yelling Everybody goes home screaming to Seth Oh my god You bastards Not many to Seth Me too Later You want some company
GLORIA;female;Yes Yes
CASPER;male;Would you play with me
CHET;male;Pussy pussy pussy All pussy must yelling into the microphone in microphone towards Kate Not so fast Slick pointing at Seth You know what everybody says about me IAMINAGONNNYYYY Stop the pain stop the pain stop the
CARLOS;male;to Seth in Spanish I don't know one place's as good as No but I passed by it a couple of I'm sorry to hear that What were Oh Seth how can I ever make it up Twentyeight You like the car It's hardly been used at all I got it Yeah follow us to Danny and Manny
GREER;andy;What's slow Hear that Dodge Epps don't think  The number nine on the starboard  Let the buyer beware Not bad for dragging a leaky tub  I must be in the wrong business imitating Vasili Looks like Epps' gonna get some  Show your tatoos to that coxswain  I bet you did Red sky at night sailor's delight into walkie There's a large vessel out about ten  I been watching it for close to an  Looks like it's adrift Too big More like a freighter Smuggling what Tundra grass Call the Coastguard into radio How's that What is it Murphy Murphy goddamit What is it You mean tow her back That's a thirty  All we got to do is hit some rough  Hypothetically speaking what if we  I don't care what ain't nobody just  You think the extra strain caused  Yeah One first class passage Elizabeth  That must be the old man right there He'd let you off at the nearest port  Sixty pounds That's what it says Are you crazy Do you realize we got  Take it easy Dodge It's only a  seeing Murphy You're up late Yeah What the fuck you think we gonna do  How much you figure that's worth  Ho baby If they thought it was lost at sea  All I gotta say is it looks like  Cargo like this could make a crew  Then why didn't they take it Must be a damn good reason to jump  So what We gonna unload the gold  Yeah but we still gotta haul that  I heard that Two hundred twenty Two twenty one Two hundred twenty two kilograms of  Hell yeah Looks like it took out the backup  What now And get a bunch of fools sniffin'  Fifty million four ways That's twelve  Moving to Sweden It's a beautiful country Very clean  Hell yeah I like it cold Colder  We'll see who's dreamin' m'man What the hell is that That shit is seriously bizarre What'd he look like She's so big somebody could come  I don't know Supposing he wants to get bad with  I say we offload some of that gold  Pretty low all around Coffee And look what happened Stay away Or else Maybe Epps's mystery man had something  Yeah Hell what difference does it  I ain't no mechanic just so you  Dammit Dodge Dodge Oragishlaoomnudrasadrafantoshviska  Never been more thirsty in my life Lost my sea legs No Lights I feel fine I don't know Tuesday What happened Last thing I remember I was aboard  Say what Oh man I wish I could tell you I'd be real  We're not gonna be able to pump it Rotten stem to stern Guess you  We ain't exactly in what you'd call  Maybe you shoulda thought a that  Lemme see was that before or after  Gettin' a little hot under the collar  Must be a little too the truth eh  After fifty years there ain't nothin'  We can always start shooting birds Looks like we're in a strong current Nasty little swell outa the north  A what We're still drifting I don't even want to know what that's  Must've heard something below deck  Yeah yeah Sorry Didn't mean to scare you You okay What Can't find the shotgun Doesn't look like it much matters What about the gold Now hold up just a minute Let's be  All I'm saying is that gold's worth  I didn't sign up to go home empty  Fine with me Oragishlaoomnudrasadrafantoshviska 
